1.0000000000000000E+000, 4.0716490819345053E-011
2.0000000000000000E+000, 2.9509669301596920E-011
3.0000000000000000E+000, 2.4813001820415257E-011
4.0000000000000000E+000, 2.1680935855575632E-011
5.0000000000000000E+000, 1.9091316576332123E-011
6.0000000000000000E+000, 1.7281028619223251E-011
7.0000000000000000E+000, 1.5602692244596373E-011
8.0000000000000000E+000, 1.4326410159785761E-011
9.0000000000000000E+000, 1.3292400485025799E-011
1.0000000000000000E+001, 1.2478669679330024E-011
1.1000000000000000E+001, 1.1748003047723116E-011
1.2000000000000000E+001, 1.1064806336282394E-011
1.3000000000000000E+001, 1.0530548871427141E-011
1.4000000000000000E+001, 1.0035840024938170E-011
1.5000000000000000E+001, 9.5695019396891588E-012
1.6000000000000000E+001, 9.1392595939620252E-012
1.7000000000000000E+001, 8.7545365209265309E-012
1.8000000000000000E+001, 8.4266836601245973E-012
1.9000000000000000E+001, 8.1574050294419563E-012
2.0000000000000000E+001, 7.8813003767506484E-012
2.1000000000000000E+001, 7.6347421889447064E-012
2.2000000000000000E+001, 7.4215542875917699E-012
2.4000000000000000E+001, 7.0204952214175513E-012
2.6000000000000000E+001, 6.6833770731790960E-012
2.8000000000000000E+001, 6.3986785088386016E-012
3.0000000000000000E+001, 6.1385573677355780E-012
3.2000000000000000E+001, 5.9112935282846397E-012
3.4000000000000000E+001, 5.7017598223600386E-012
3.6000000000000000E+001, 5.4866064766576709E-012
3.8000000000000000E+001, 5.2797746583376624E-012
4.0000000000000000E+001, 5.1062514106873981E-012
4.5000000000000000E+001, 4.7469096261992594E-012
5.0000000000000000E+001, 4.4298635169354615E-012
5.5000000000000000E+001, 4.1469966795076170E-012
6.0000000000000000E+001, 3.9384685748657676E-012
7.0000000000000000E+001, 3.5532205194247942E-012
8.0000000000000000E+001, 3.2761354866798820E-012
9.0000000000000000E+001, 3.0228786759499428E-012
1.0000000000000000E+002, 2.8154497508988969E-012
1.1000000000000000E+002, 2.6516615489823583E-012
1.2000000000000000E+002, 2.5017335897784550E-012
1.3000000000000000E+002, 2.3634619373171830E-012
1.4000000000000000E+002, 2.2530296907481419E-012
1.5000000000000000E+002, 2.1494974396173237E-012
1.6000000000000000E+002, 2.0571507570751686E-012
1.7000000000000000E+002, 1.9802579522009615E-012
1.8000000000000000E+002, 1.9089227441568033E-012
1.9000000000000000E+002, 1.8544771888383726E-012
2.0000000000000000E+002, 1.8031367230729930E-012
2.1000000000000000E+002, 1.7511546128199259E-012
2.2000000000000000E+002, 1.7066154630380338E-012
2.4000000000000000E+002, 1.6261385539438570E-012
2.6000000000000000E+002, 1.5596827506267436E-012
2.8000000000000000E+002, 1.4935028770315827E-012
3.0000000000000000E+002, 1.4402311804246964E-012
3.2000000000000000E+002, 1.3825360436849858E-012
3.4000000000000000E+002, 1.3300811974537048E-012
3.6000000000000000E+002, 1.2890372805306602E-012
3.8000000000000000E+002, 1.2499854620683414E-012
4.0000000000000000E+002, 1.2161666654058786E-012
4.5000000000000000E+002, 1.1373199062993673E-012
5.0000000000000000E+002, 1.0713598793167857E-012
5.5000000000000000E+002, 1.0185569941867620E-012
6.0000000000000000E+002, 9.6987087648966432E-013
7.0000000000000000E+002, 9.0092874303521534E-013
8.0000000000000000E+002, 8.3814695696070150E-013
9.0000000000000000E+002, 7.8578215064134340E-013
1.0000000000000000E+003, 7.4136806567014192E-013
1.1000000000000000E+003, 7.0456593527069622E-013
1.2000000000000000E+003, 6.7194847258967608E-013
1.3000000000000000E+003, 6.4512983297230071E-013
1.4000000000000000E+003, 6.2181202483434185E-013
1.5000000000000000E+003, 6.0330994027374041E-013
1.6000000000000000E+003, 5.8386052877253146E-013
1.7000000000000000E+003, 5.6776244932113846E-013
1.8000000000000000E+003, 5.5043154634417804E-013
1.9000000000000000E+003, 5.3448736414957815E-013
2.0000000000000000E+003, 5.1979614180473440E-013
2.1000000000000000E+003, 5.0409186565781085E-013
2.2000000000000000E+003, 4.9124245531391563E-013
